Year,Territorio,Alimentos,Units,Value
2010,CAE,Alimentos,Indice 2021=100,83.32
2011,CAE,Alimentos,Indice 2021=100,85.03
2012,CAE,Alimentos,Indice 2021=100,87.34
2013,CAE,Alimentos,Indice 2021=100,89.92
2014,CAE,Alimentos,Indice 2021=100,89.35
2015,CAE,Alimentos,Indice 2021=100,90.62
2016,CAE,Alimentos,Indice 2021=100,92.08
2017,CAE,Alimentos,Indice 2021=100,93.30
2018,CAE,Alimentos,Indice 2021=100,94.70
2019,CAE,Alimentos,Indice 2021=100,95.56
2020,CAE,Alimentos,Indice 2021=100,98.22
2021,CAE,Alimentos,Indice 2021=100,100.00
2022,CAE,Alimentos,Indice 2021=100,111.40
2023,CAE,Alimentos,Indice 2021=100,123.72
2011,CAE,Alimentos,Tasa de variacion interanual,2.06
2012,CAE,Alimentos,Tasa de variacion interanual,2.71
2013,CAE,Alimentos,Tasa de variacion interanual,2.95
2014,CAE,Alimentos,Tasa de variacion interanual,-0.64
2015,CAE,Alimentos,Tasa de variacion interanual,1.43
2016,CAE,Alimentos,Tasa de variacion interanual,1.60
2017,CAE,Alimentos,Tasa de variacion interanual,1.33
2018,CAE,Alimentos,Tasa de variacion interanual,1.50
2019,CAE,Alimentos,Tasa de variacion interanual,0.90
2020,CAE,Alimentos,Tasa de variacion interanual,2.79
2021,CAE,Alimentos,Tasa de variacion interanual,1.81
2022,CAE,Alimentos,Tasa de variacion interanual,11.40
2023,CAE,Alimentos,Tasa de variacion interanual,11.07
2010,CAE,Pan y cereales,Indice 2021=100,92.21
2011,CAE,Pan y cereales,Indice 2021=100,95.00
2012,CAE,Pan y cereales,Indice 2021=100,97.03
2013,CAE,Pan y cereales,Indice 2021=100,98.29
2014,CAE,Pan y cereales,Indice 2021=100,97.08
2015,CAE,Pan y cereales,Indice 2021=100,96.81
2016,CAE,Pan y cereales,Indice 2021=100,97.20
2017,CAE,Pan y cereales,Indice 2021=100,95.52
2018,CAE,Pan y cereales,Indice 2021=100,96.88
2019,CAE,Pan y cereales,Indice 2021=100,98.42
2020,CAE,Pan y cereales,Indice 2021=100,99.90
2021,CAE,Pan y cereales,Indice 2021=100,100.00
2022,CAE,Pan y cereales,Indice 2021=100,113.89
2023,CAE,Pan y cereales,Indice 2021=100,126.40
2011,CAE,Pan y cereales,Tasa de variacion interanual,3.03
2012,CAE,Pan y cereales,Tasa de variacion interanual,2.14
2013,CAE,Pan y cereales,Tasa de variacion interanual,1.30
2014,CAE,Pan y cereales,Tasa de variacion interanual,-1.23
2015,CAE,Pan y cereales,Tasa de variacion interanual,-0.28
2016,CAE,Pan y cereales,Tasa de variacion interanual,0.40
2017,CAE,Pan y cereales,Tasa de variacion interanual,-1.72
2018,CAE,Pan y cereales,Tasa de variacion interanual,1.42
2019,CAE,Pan y cereales,Tasa de variacion interanual,1.60
2020,CAE,Pan y cereales,Tasa de variacion interanual,1.50
2021,CAE,Pan y cereales,Tasa de variacion interanual,0.10
2022,CAE,Pan y cereales,Tasa de variacion interanual,13.89
2023,CAE,Pan y cereales,Tasa de variacion interanual,10.98
2010,01,Alimentos,Indice 2021=100,82.46
2011,01,Alimentos,Indice 2021=100,84.22
2012,01,Alimentos,Indice 2021=100,86.34
2013,01,Alimentos,Indice 2021=100,88.82
2014,01,Alimentos,Indice 2021=100,88.34
2015,01,Alimentos,Indice 2021=100,89.90
2016,01,Alimentos,Indice 2021=100,91.15
2017,01,Alimentos,Indice 2021=100,92.43
2018,01,Alimentos,Indice 2021=100,93.86
2019,01,Alimentos,Indice 2021=100,94.85
2020,01,Alimentos,Indice 2021=100,97.73
2021,01,Alimentos,Indice 2021=100,100.00
2022,01,Alimentos,Indice 2021=100,110.86
2023,01,Alimentos,Indice 2021=100,122.64
2011,01,Alimentos,Tasa de variacion interanual,2.13
2012,01,Alimentos,Tasa de variacion interanual,2.53
2013,01,Alimentos,Tasa de variacion interanual,2.87
2014,01,Alimentos,Tasa de variacion interanual,-0.54
2015,01,Alimentos,Tasa de variacion interanual,1.76
2016,01,Alimentos,Tasa de variacion interanual,1.39
2017,01,Alimentos,Tasa de variacion interanual,1.41
2018,01,Alimentos,Tasa de variacion interanual,1.54
2019,01,Alimentos,Tasa de variacion interanual,1.06
2020,01,Alimentos,Tasa de variacion interanual,3.04
2021,01,Alimentos,Tasa de variacion interanual,2.32
2022,01,Alimentos,Tasa de variacion interanual,10.86
2023,01,Alimentos,Tasa de variacion interanual,10.62
2010,20,Alimentos,Indice 2021=100,84.08
2011,20,Alimentos,Indice 2021=100,85.36
2012,20,Alimentos,Indice 2021=100,87.71
2013,20,Alimentos,Indice 2021=100,90.17
2014,20,Alimentos,Indice 2021=100,89.66
2015,20,Alimentos,Indice 2021=100,91.22
2016,20,Alimentos,Indice 2021=100,92.59
2017,20,Alimentos,Indice 2021=100,93.47
2018,20,Alimentos,Indice 2021=100,95.22
2019,20,Alimentos,Indice 2021=100,96.16
2020,20,Alimentos,Indice 2021=100,98.36
2021,20,Alimentos,Indice 2021=100,100.00
2022,20,Alimentos,Indice 2021=100,111.17
2023,20,Alimentos,Indice 2021=100,123.38
2011,20,Alimentos,Tasa de variacion interanual,1.52
2012,20,Alimentos,Tasa de variacion interanual,2.76
2013,20,Alimentos,Tasa de variacion interanual,2.81
2014,20,Alimentos,Tasa de variacion interanual,-0.57
2015,20,Alimentos,Tasa de variacion interanual,1.74
2016,20,Alimentos,Tasa de variacion interanual,1.50
2017,20,Alimentos,Tasa de variacion interanual,0.95
2018,20,Alimentos,Tasa de variacion interanual,1.88
2019,20,Alimentos,Tasa de variacion interanual,0.99
2020,20,Alimentos,Tasa de variacion interanual,2.28
2021,20,Alimentos,Tasa de variacion interanual,1.67
2022,20,Alimentos,Tasa de variacion interanual,11.17
2023,20,Alimentos,Tasa de variacion interanual,10.98
2010,48,Alimentos,Indice 2021=100,83.07
2011,48,Alimentos,Indice 2021=100,85.10
2012,48,Alimentos,Indice 2021=100,87.42
2013,48,Alimentos,Indice 2021=100,90.11
2014,48,Alimentos,Indice 2021=100,89.46
2015,48,Alimentos,Indice 2021=100,90.46
2016,48,Alimentos,Indice 2021=100,92.04
2017,48,Alimentos,Indice 2021=100,93.46
2018,48,Alimentos,Indice 2021=100,94.63
2019,48,Alimentos,Indice 2021=100,95.38
2020,48,Alimentos,Indice 2021=100,98.29
2021,48,Alimentos,Indice 2021=100,100.00
2022,48,Alimentos,Indice 2021=100,111.71
2023,48,Alimentos,Indice 2021=100,124.28
2011,48,Alimentos,Tasa de variacion interanual,2.44
2012,48,Alimentos,Tasa de variacion interanual,2.73
2013,48,Alimentos,Tasa de variacion interanual,3.07
2014,48,Alimentos,Tasa de variacion interanual,-0.71
2015,48,Alimentos,Tasa de variacion interanual,1.12
2016,48,Alimentos,Tasa de variacion interanual,1.74
2017,48,Alimentos,Tasa de variacion interanual,1.55
2018,48,Alimentos,Tasa de variacion interanual,1.25
2019,48,Alimentos,Tasa de variacion interanual,0.80
2020,48,Alimentos,Tasa de variacion interanual,3.04
2021,48,Alimentos,Tasa de variacion interanual,1.74
2022,48,Alimentos,Tasa de variacion interanual,11.71
2023,48,Alimentos,Tasa de variacion interanual,11.25
